val_loss,epoch,step,train_loss
2.2436604499816895,0,22,
2.178529977798462,1,45,
,2,49,2.035945415496826
1.6277045011520386,2,68,
1.7248167991638184,3,91,
,4,99,1.9776805639266968
1.3688569068908691,4,114,
1.0785701274871826,5,137,
,6,149,0.5070063471794128
0.9790031313896179,6,160,
0.9993408918380737,7,183,
,8,199,0.9645544290542603
0.9598713517189026,8,206,
0.9612659811973572,9,229,
,10,249,1.095123529434204
0.9687966108322144,10,252,
0.9717729091644287,11,275,
0.9501714706420898,12,298,
,13,299,1.1287788152694702
0.9319015741348267,13,321,
0.9370837807655334,14,344,
,15,349,0.8514260053634644
0.9676880240440369,15,367,
0.9306405186653137,16,390,
,17,399,0.641007661819458
0.9248305559158325,17,413,
0.9317769408226013,18,436,
,19,449,0.6026447415351868
0.9402198791503906,19,459,
1.0481910705566406,20,482,
